label	topic_id	annotator1	annotator2	annotator3	annotator4	annotator5	annotator6	annotator7	annotator8	annotator9	annotator10
synthpop	115.0	1	1	1.0	0.0	3.0					
love songs (nat king cole album)	115.0	2	1	3.0	0.0						
singer-songwriter	115.0	1	3	3.0	1.0	1.0	2.0	2.0			
rock music	115.0	2	1	2.0	3.0	3.0	0.0	0.0			
third album	115.0	1	2	2.0	1.0	1.0	3.0	1.0	1.0	2.0	
music video	115.0	2	1	2.0	2.0	1.0					
progressive rock	115.0	1	0	1.0	2.0	2.0	1.0	2.0	1.0	0.0	1.0
cover songs	115.0	1	2	1.0	2.0						
cover version	115.0	2	1	2.0							
the band	115.0	2	0	0.0	2.0	3.0					
alternative rock	115.0	2	1	1.0	2.0	3.0	3.0	1.0			
troubled asset relief program	116.0	3	2	3.0	2.0	2.0	0.0				
tax rate	116.0	0	0	3.0	3.0	3.0					
government revenue	116.0	0	0	1.0	2.0	3.0					
capital gains tax	116.0	2	1	1.0	2.0	3.0	3.0				
investment	116.0	2	2	3.0	1.0	1.0					
government spending	116.0	3	3	2.0	2.0	3.0	2.0				
subsidy	116.0	0	3	3.0	1.0	1.0	1.0	1.0			
student loan	116.0	1	1	1.0	1.0	3.0	1.0	1.0			
tax revenue	116.0	3	2	1.0	1.0	3.0	2.0	3.0	2.0		
fiscal year	116.0	3	1	3.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0
corporate tax	116.0	0	0	3.0	2.0	0.0	2.0	2.0	0.0		
budget	116.0	3	1	3.0	3.0	3.0					
value-added tax	116.0	2	3	1.0	2.0	2.0	2.0	2.0			
tax	116.0	0	3	0.0	1.0	3.0	3.0				
funding	116.0	2	2	3.0	1.0	2.0	1.0				
taxpayer	116.0	2	2	3.0	2.0	3.0	2.0	3.0	2.0		
income tax	116.0	2	3	3.0	2.0	3.0					
revenue	116.0	3	2	1.0	1.0	3.0	1.0	1.0			
capital expenditure	116.0	2	0	1.0	1.0	1.0	2.0				
bobby labonte	117.0	0	1	1.0	0.0	2.0	0.0	3.0			
chip ganassi racing	117.0	0	2	3.0							
richard childress racing	117.0	2	2	0.0	1.0	1.0	2.0	1.0	2.0		
championship	117.0	2	3	3.0	1.0	2.0	0.0	0.0			
dario franchitti	117.0	3	2	3.0	1.0	1.0	1.0	0.0	1.0	1.0	
juan pablo montoya	117.0	1	3	2.0	1.0	3.0	0.0	1.0			
rusty wallace	117.0	0	2	1.0	1.0	1.0	1.0	2.0	1.0	0.0	
joe gibbs racing	117.0	3	2	3.0	1.0	3.0	3.0	3.0	3.0	2.0	
jeff gordon	117.0	2	2	2.0	0.0	2.0	0.0				
team penske	117.0	1	2	2.0	1.0	2.0					
scott dixon	117.0	1	1	2.0	2.0	2.0	2.0				
camping world truck series	117.0	0	2	2.0	1.0	2.0	1.0				
hendrick motorsports	117.0	1	2	2.0	2.0	0.0	0.0				
scott speed	117.0	2	1	1.0							
sprint cup series	117.0	1	2	2.0	1.0	3.0	1.0	3.0	0.0	1.0	
milwaukee mile	117.0	0	0	1.0							
marcos ambrose	117.0	1	0	2.0							
tony stewart	117.0	3	1	3.0	3.0	1.0	0.0	2.0	0.0		
dale jarrett	117.0	0	1	1.0	0.0	1.0	1.0	0.0	0.0		
florida keys	118.0	1	2	1.0	1.0	2.0	1.0	2.0			
hurricane isabel	118.0	2	1	1.0	2.0	2.0	2.0				
hurricane irene	118.0	3	1	3.0	1.0	2.0	2.0				
landfall	118.0	0	1	0.0	0.0	2.0	1.0	1.0			
hurricane charley	118.0	2	2	3.0	3.0	2.0	3.0	2.0	3.0		
hurricane wilma	118.0	1	2	3.0	3.0	3.0					
hurricane bob (1985)	118.0	0	2	2.0	3.0						
outer banks	118.0	0	0	0.0	0.0	0.0	2.0	0.0	0.0		
hurricane georges	118.0	2	3	2.0	3.0	2.0	3.0	2.0	2.0		
hurricane andrew	118.0	2	2	2.0	3.0						
hurricane dennis (1999)	118.0	3	2	2.0	1.0	2.0	0.0	2.0			
cape lookout (north carolina)	118.0	1	2	1.0	1.0	0.0	2.0	1.0			
tropical storm beryl (2012)	118.0	2	1	2.0	3.0						
hurricane donna	118.0	2	3	0.0	2.0	2.0					
tropical storm debby (2012)	118.0	3	1	2.0	2.0	3.0	1.0	1.0			
storm surge	118.0	0	0	2.0	2.0						
cape hatteras	118.0	0	1	1.0							
florida panhandle	118.0	1	2	1.0	2.0	2.0	1.0	0.0	3.0		
hurricane bob	118.0	0	2	2.0	2.0	2.0	2.0	1.0			
treason	119.0	1	1	1.0	0.0	0.0	1.0				
resisting arrest	119.0	2	3	1.0	2.0	1.0	2.0				
attempted murder	119.0	1	2	3.0	3.0	1.0					
false confession	119.0	1	1	2.0	1.0	1.0	2.0	1.0	0.0	1.0	
murder	119.0	3	3	2.0	2.0	0.0	0.0				
acquittal	119.0	1	2	0.0							
prosecutor	119.0	2	1	1.0							
kidnapping	119.0	2	1	2.0	1.0	3.0	2.0				
arrest	119.0	3	3	1.0	1.0	2.0					
capital murder	119.0	0	0	3.0	3.0						
bail	119.0	2	2	2.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0
manslaughter	119.0	3	1	3.0	2.0	2.0	3.0	2.0	3.0		
accomplice	119.0	1	1	1.0	2.0	1.0	2.0	3.0	1.0	2.0	
suspect	119.0	1	2	1.0	2.0	1.0	2.0	3.0			
indictment	119.0	3	1	2.0	2.0	1.0	2.0	1.0	1.0		
miscarriage of justice	119.0	1	1	1.0	3.0	1.0	2.0				
plea bargain	119.0	2	3	1.0	0.0	2.0	2.0	2.0	2.0	1.0	
robbery	119.0	2	1	3.0	1.0	1.0					
arrest warrant	119.0	1	2	3.0	3.0	1.0	2.0	2.0			
leader of the opposition	120.0	2	2	2.0	2.0	2.0	1.0				
conservatism	120.0	2	2	0.0	3.0	2.0					
national unity government	120.0	1	2	2.0	2.0	2.0	3.0	2.0			
democratic party (united states)	120.0	2	2	3.0	2.0	3.0	2.0				
ruling party	120.0	0	1	0.0	2.0	2.0	1.0				
socialism	120.0	1	2	2.0	1.0	2.0					
political party	120.0	3	3	2.0	2.0						
prime minister	120.0	2	3	2.0	2.0	2.0	1.0	3.0			
parliamentary leader	120.0	2	2	2.0	0.0	1.0	3.0	1.0			
democratic socialism	120.0	2	2	2.0	2.0	1.0	2.0	2.0			
politics	120.0	3	3	3.0	3.0	2.0	3.0	2.0			
republican party (turkey)	120.0	2	1	0.0	2.0	2.0	2.0	2.0			
party leader	120.0	3	0	1.0	0.0	1.0					
government	120.0	3	2	3.0	3.0	3.0	3.0	2.0	3.0	3.0	
liberalism	120.0	2	2	1.0	1.0	2.0	1.0	1.0			
social democracy	120.0	2	2	2.0	2.0	2.0	3.0				
head of state	120.0	3	3	2.0	2.0	3.0	2.0				
national unity	120.0	2	2	1.0	2.0	2.0	2.0				
coalition government	120.0	1	2	2.0	2.0	2.0	1.0	2.0	2.0		
boston university	121.0	1	2	2.0	0.0	3.0	1.0	1.0	1.0	3.0	2.0
university	121.0	3	3	2.0	3.0	2.0	3.0	3.0	2.0	2.0	
graduate	121.0	3	3	3.0	2.0	3.0					
stanford university	121.0	2	1	2.0	2.0	2.0	1.0				
college	121.0	3	2	3.0	3.0	2.0	2.0	3.0	3.0		
new york university	121.0	0	2	0.0	2.0	3.0					
harvard university	121.0	3	2	3.0	2.0	3.0	2.0	3.0			
graduate school	121.0	3	2	3.0	2.0	3.0	3.0	2.0	2.0		
high school	121.0	1	2	2.0	2.0	1.0	2.0	1.0			
princeton university	121.0	2	2	2.0	1.0	1.0					
massachusetts institute of technology	121.0	0	0	3.0	0.0	1.0	2.0	0.0			
university of michigan	121.0	2	2	1.0	2.0	1.0	2.0	3.0	0.0		
undergraduate degree	121.0	2	1	3.0	1.0	2.0	0.0				
brown university	121.0	3	3	1.0	1.0	2.0	2.0				
university of chicago	121.0	2	0	1.0	0.0	2.0	0.0				
medical school	121.0	2	1	1.0	3.0						
yale university	121.0	2	2	1.0	2.0	0.0	1.0	2.0			
amherst college	121.0	3	0	2.0	1.0	1.0	1.0				
columbia university	121.0	2	2	1.0	1.0	3.0	2.0	0.0			
haute couture	122.0	1	2	1.0	2.0	2.0	1.0	3.0	2.0		
fashion	122.0	3	3	2.0	3.0	2.0	3.0	3.0	3.0		
dress	122.0	3	2	2.0	2.0	3.0	2.0	3.0	3.0		
fashion design	122.0	3	3	3.0	3.0	3.0	3.0				
kimono	122.0	1	1	1.0	1.0	3.0	2.0	2.0			
clothing	122.0	2	3	2.0	2.0	2.0					
leggings	122.0	0	0	1.0	2.0	3.0	3.0				
bodysuit	122.0	0	2	0.0	3.0	3.0					
skirt	122.0	1	2	3.0	1.0	2.0	1.0				
gown	122.0	2	2	3.0	3.0	1.0	3.0				
trousers	122.0	1	2	1.0	1.0	1.0	2.0	1.0			
sportswear (fashion)	122.0	1	2	3.0	1.0	2.0	1.0	2.0			
alexander mcqueen	122.0	0	2	2.0	1.0	0.0	1.0	0.0			
french fashion	122.0	2	3	2.0	2.0	3.0	2.0	1.0			
ready-to-wear	122.0	1	2	1.0	2.0	1.0					
hairstyle	122.0	1	1	3.0	2.0	3.0	0.0	3.0			
costume	122.0	2	1	1.0	2.0	2.0	3.0	2.0			
karl lagerfeld	122.0	2	1	3.0	2.0	2.0					
blouse	122.0	2	3	2.0	2.0	1.0	2.0	2.0			
grandchild	123.0	1	2	1.0	1.0	1.0	1.0	2.0	1.0		
girl	123.0	0	2	1.0	1.0	2.0	1.0				
toddler	123.0	0	3	0.0	2.0	0.0	0.0				
birth	123.0	1	2	2.0	2.0	3.0	0.0	1.0			
mother	123.0	3	2	2.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0
father	123.0	2	1	3.0	2.0	2.0	1.0				
sister	123.0	1	1	3.0	1.0	2.0	1.0	2.0			
aunt	123.0	0	2	1.0	1.0	1.0	1.0	1.0			
ten years old	123.0	1	1	1.0	1.0	2.0					
baby sister	123.0	1	2	1.0	3.0	0.0	1.0	0.0			
the baby	123.0	2	1	2.0	3.0	0.0	2.0	0.0			
parenting	123.0	3	3	1.0	2.0	3.0	2.0	1.0			
only child	123.0	2	2	1.0	1.0						
foster care	123.0	3	0	0.0	1.0	3.0					
child	123.0	3	2	2.0	3.0	2.0	1.0	1.0			
infant	123.0	1	1	2.0	0.0						
orphan	123.0	0	1	1.0	3.0	2.0	0.0	2.0			
nanny	123.0	0	3	1.0	1.0	1.0					
boy	123.0	2	2	2.0	3.0	0.0	0.0				
only child	124.0	1	1	1.0	0.0	1.0	0.0				
wife	124.0	2	1	2.0	1.0	2.0	1.0	1.0			
son-in-law	124.0	0	1	3.0	2.0	1.0	2.0	0.0			
husband	124.0	1	1	1.0	2.0	2.0	2.0	2.0			
sister	124.0	2	1	1.0	2.0	1.0	1.0	1.0			
emma (novel)	124.0	0	0	0.0	0.0	1.0					
marriage	124.0	1	1	2.0	2.0	2.0	2.0	2.0	3.0	1.0	
two daughters	124.0	1	1	0.0	1.0	1.0					
grandchild	124.0	2	1	3.0	2.0	0.0					
son	124.0	1	2	1.0	2.0	1.0	1.0	1.0			
cousin	124.0	3	0	1.0	2.0	1.0	1.0	1.0			
sisters (tv series)	124.0	2	0	2.0	1.0						
daughter	124.0	2	2	3.0	2.0	2.0	3.0	2.0	1.0	3.0	
his family	124.0	2	1	2.0	2.0	2.0					
uncle	124.0	1	0	0.0	1.0	3.0					
mother	124.0	2	2	2.0	0.0	2.0	3.0	2.0	2.0	2.0	
their son	124.0	2	2	1.0	2.0	1.0	2.0	1.0			
aunt	124.0	1	1	1.0	2.0	2.0	1.0	1.0			
father	124.0	2	1	2.0	3.0	1.0	3.0	3.0	1.0	3.0	
patio	125.0	1	2	1.0	1.0	1.0	1.0	1.0	2.0	1.0	
entrance hall	125.0	2	0	3.0	0.0	1.0	1.0				
panelling	125.0	1	1	2.0	1.0	1.0	2.0	1.0			
wall	125.0	2	1	2.0	2.0	1.0	3.0				
porch	125.0	2	0	1.0	2.0	3.0	0.0	0.0			
bedroom	125.0	1	2	2.0	2.0	0.0	1.0	3.0	3.0		
roof	125.0	2	2	1.0	0.0	1.0					
kitchen	125.0	1	0	2.0	3.0	1.0	1.0	2.0	1.0		
courtyard	125.0	3	2	1.0							
door	125.0	3	1	2.0	0.0	1.0	2.0	1.0	3.0	2.0	2.0
living room	125.0	2	2	2.0	0.0	1.0					
entryway	125.0	1	1	1.0	2.0						
balcony	125.0	1	2	1.0	0.0	1.0	2.0	1.0			
floor	125.0	1	1	2.0	3.0	3.0	0.0	0.0			
dining room	125.0	1	2	1.0	2.0	1.0	2.0	2.0	2.0		
basement	125.0	1	0	2.0	1.0	1.0	0.0				
window	125.0	2	2	1.0	2.0	1.0	3.0	2.0	1.0		
fireplace	125.0	0	0	3.0	3.0	3.0					
the ceiling	125.0	1	1	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
super middleweight	126.0	1	2	3.0	3.0	2.0	3.0				
manny pacquiao	126.0	0	1	2.0	3.0						
mike tyson	126.0	0	1	1.0	3.0						
ricky hatton	126.0	2	1	0.0	2.0	1.0	1.0	1.0	2.0		
professional boxing	126.0	2	3	3.0	1.0	2.0	1.0				
welterweight	126.0	2	2	3.0	1.0	1.0	0.0	3.0			
super bantamweight	126.0	2	1	1.0	2.0	3.0	1.0	0.0			
juan manuel márquez	126.0	2	1	1.0	0.0	1.0	2.0	0.0			
light welterweight	126.0	3	0	2.0	0.0	1.0					
wladimir klitschko	126.0	1	1	2.0	0.0	1.0	0.0	1.0			
light flyweight	126.0	1	1	2.0	2.0	2.0	2.0	3.0	2.0		
bernard hopkins	126.0	2	1	1.0	0.0	1.0	0.0				
lennox lewis	126.0	2	3	2.0	1.0	1.0	1.0	2.0			
roberto durán	126.0	3	1	1.0	0.0	3.0	1.0	2.0			
james toney	126.0	0	0	3.0	1.0	3.0					
antonio tarver	126.0	1	0	2.0	2.0	0.0					
joe calzaghe	126.0	2	1	2.0	2.0	2.0	1.0	0.0			
light middleweight	126.0	2	2	2.0	3.0	2.0	3.0				
sugar ray leonard	126.0	3	2	3.0	1.0	1.0	2.0	2.0	1.0	2.0	
russian civil war	127.0	2	1	2.0	1.0	3.0	2.0	1.0			
chechnya	127.0	1	1	1.0	0.0	2.0					
kyrgyzstan	127.0	2	2	1.0	2.0	2.0	1.0				
ukrainian navy	127.0	2	1	2.0	1.0	2.0	0.0	0.0			
russo-georgian war	127.0	3	3	1.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0
aslan maskhadov	127.0	2	1	3.0	1.0	1.0	1.0				
south ossetia	127.0	0	1	0.0	1.0	2.0					
abkhazia	127.0	1	0	0.0	0.0	2.0	2.0	0.0	0.0		
dzhokhar dudayev	127.0	1	2	3.0	0.0	1.0	1.0	1.0			
russia	127.0	2	2	1.0	3.0	1.0	3.0	2.0			
russian ground forces	127.0	0	0	3.0	3.0	3.0					
soviet army	127.0	0	0	2.0	2.0	1.0					
black sea fleet	127.0	1	2	0.0	2.0	1.0	0.0				
dagestan	127.0	0	2	0.0	0.0						
soviet armed forces	127.0	2	2	2.0	3.0	2.0	0.0	2.0			
vladimir putin	127.0	1	2	1.0	2.0	2.0	1.0				
ingushetia	127.0	0	1	1.0	0.0	2.0	1.0				
soviet union	127.0	2	2	2.0	1.0	2.0	1.0				
grozny	127.0	1	2	1.0	0.0						
recital	128.0	1	1	2.0	1.0	3.0					
performing arts	128.0	1	2	2.0	2.0	3.0	3.0	3.0	3.0	2.0	
opera	128.0	3	3	2.0	3.0	2.0	3.0				
san francisco ballet	128.0	1	1	1.0	2.0	0.0	1.0				
music	128.0	2	2	2.0	2.0	3.0					
ballet	128.0	0	0	3.0	0.0	3.0	0.0				
contemporary dance	128.0	2	1	2.0	1.0	1.0	2.0				
new york city opera	128.0	2	1	2.0	2.0	3.0	2.0	2.0			
artistic director	128.0	1	2	2.0	3.0						
theatre	128.0	3	3	3.0	3.0	2.0					
classical music	128.0	1	2	2.0	2.0	1.0					
drama	128.0	1	2	1.0	2.0	1.0	2.0				
orchestra	128.0	1	2	1.0							
musical theatre	128.0	3	3	1.0	3.0	2.0					
concerto (ballet)	128.0	3	1	2.0	0.0	2.0	1.0				
repertoire	128.0	0	0	1.0	1.0	1.0	2.0	1.0			
choreography	128.0	3	3	2.0	3.0	2.0	2.0	2.0	2.0		
operetta	128.0	2	2	2.0	2.0	2.0	3.0	3.0	2.0	2.0	
concert performance	128.0	3	2	3.0	2.0	2.0	2.0	3.0	3.0		
exhibition game	129.0	2	0	2.0	1.0	3.0	3.0	2.0	1.0		
perfect season	129.0	2	2	2.0	3.0	0.0	1.0				
basketball	129.0	0	0	1.0	1.0	2.0	0.0	1.0	3.0	2.0	
playoffs	129.0	2	2	2.0	1.0	3.0	1.0				
football team	129.0	0	0	2.0	3.0	1.0					
penalty shootout	129.0	2	2	3.0							
winning streak (sports)	129.0	2	2	1.0	2.0	2.0	2.0	1.0	0.0	2.0	
hat-trick	129.0	2	2	1.0	1.0	2.0	1.0	0.0			
ice hockey	129.0	0	1	2.0	0.0						
north american soccer league	129.0	3	1	2.0	2.0						
fifa world cup	129.0	3	3	2.0	1.0	2.0	2.0	2.0	3.0		
football	129.0	2	2	0.0	3.0	1.0	3.0	3.0	3.0		
winning goal	129.0	2	1	1.0	1.0	2.0	3.0				
the first team	129.0	0	2	2.0	1.0						
penalty shoot-out (association football)	129.0	2	2	2.0	1.0	1.0	2.0	2.0	2.0	3.0	
goalkeeper	129.0	2	2	1.0	1.0	3.0	1.0				
association football	129.0	3	3	2.0	3.0	1.0	2.0	3.0	3.0	3.0	
championship	129.0	1	3	2.0	2.0	2.0	0.0	0.0			
tournament	129.0	2	2	2.0	2.0	2.0					
san diego	130.0	2	2	2.0	3.0	3.0	2.0	0.0	1.0		
san francisco bay area	130.0	3	2	2.0	1.0	2.0	3.0	2.0	2.0	2.0	3.0
san francisco peninsula	130.0	0	0	1.0	3.0	3.0	3.0				
berryessa	130.0	0	0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
los angeles	130.0	1	1	2.0	0.0	3.0	1.0	1.0			
san antonio	130.0	2	1	2.0	0.0	1.0	2.0	1.0	2.0		
san gabriel valley	130.0	2	2	2.0	2.0	1.0	1.0	2.0	2.0	2.0	
san josé	130.0	1	1	2.0	1.0	2.0	0.0	2.0			
san bernardino valley	130.0	1	1	1.0	2.0	1.0	2.0				
san mateo (caltrain station)	130.0	2	2	1.0	3.0	2.0	0.0				
santa ana river	130.0	1	2	2.0	2.0	0.0	0.0	0.0			
northern california	130.0	1	2	3.0	1.0	1.0					
southern california	130.0	2	1	2.0	1.0	2.0	2.0	2.0			
san bernardino mountains	130.0	0	2	2.0	2.0	2.0	3.0				
ventura	130.0	1	2	3.0	1.0	1.0	1.0	2.0	0.0		
sacramento valley	130.0	3	2	0.0	2.0	2.0	0.0	2.0	1.0	3.0	
san joaquin valley	130.0	1	1	2.0	1.0	2.0	1.0	1.0	1.0		
san francisco	130.0	2	2	3.0	2.0	3.0	2.0	3.0			
san francisco bay	130.0	2	1	2.0	3.0	3.0	3.0				
qr code	131.0	1	1	1.0	2.0	2.0	1.0	2.0			
gmail	131.0	1	3	3.0	1.0	1.0	2.0				
mobile device	131.0	1	2	2.0	2.0	2.0	3.0	1.0			
internet	131.0	3	1	1.0	1.0	2.0					
email	131.0	2	2	2.0	3.0	2.0	1.0				
upload	131.0	1	1	0.0	0.0	2.0					
fax	131.0	1	2	1.0	1.0	0.0	0.0				
short message service	131.0	2	0	2.0	2.0						
modem	131.0	2	1	2.0	2.0	1.0	1.0	2.0	1.0		
text messaging	131.0	1	2	2.0	0.0	1.0	1.0	2.0	1.0	0.0	
telephone number	131.0	2	1	2.0	2.0	2.0	2.0	1.0			
usb	131.0	0	0	3.0	0.0	0.0	0.0				
skype	131.0	2	3	2.0	3.0	3.0	2.0				
iphone	131.0	2	2	2.0	1.0	0.0					
voice over ip	131.0	2	2	2.0	2.0	2.0					
email address	131.0	2	2	3.0	1.0						
mobile phone	131.0	3	3	3.0	2.0	2.0					
credit card	131.0	1	1	1.0	3.0	1.0	1.0	0.0			
voicemail	131.0	2	1	2.0	3.0	3.0	1.0				
middle school	132.0	2	2	2.0	2.0						
graduate	132.0	3	3	1.0	2.0	2.0	2.0	2.0			
early childhood education	132.0	2	2	2.0	2.0	2.0	1.0	1.0			
college	132.0	3	2	2.0	1.0	3.0	0.0	2.0			
high school	132.0	0	2	0.0	3.0	2.0	0.0				
curriculum	132.0	3	3	3.0	3.0	2.0	3.0	3.0	3.0	3.0	
graduate school	132.0	2	3	3.0	3.0	1.0	1.0				
undergraduate education	132.0	2	3	2.0	1.0	2.0	2.0	3.0	1.0		
matriculation	132.0	0	0	3.0	1.0	0.0	3.0	1.0	0.0		
vocational education	132.0	3	2	2.0							
private school	132.0	2	1	3.0	0.0	2.0	1.0				
master of education	132.0	0	0	3.0	0.0						
primary education	132.0	1	2	3.0	2.0	1.0	3.0	3.0			
state school	132.0	2	2	2.0	2.0	3.0	2.0	2.0			
secondary education	132.0	3	0	2.0	2.0	2.0	2.0	2.0	3.0		
school	132.0	1	2	3.0	3.0	3.0	3.0	3.0	0.0		
secondary school	132.0	0	2	1.0	1.0	3.0	1.0				
university	132.0	2	3	2.0	3.0	3.0					
education	132.0	3	3	3.0							
horror film	133.0	2	2	2.0	0.0	2.0					
fantasy film	133.0	3	3	2.0							
film adaptation	133.0	2	3	3.0							
quentin tarantino	133.0	3	1	3.0	1.0						
cameo appearance	133.0	2	0	1.0	0.0	2.0	1.0	1.0	1.0		
action film	133.0	2	2	2.0	3.0	1.0	1.0	1.0			
jodie foster	133.0	2	2	1.0							
musical film	133.0	1	3	2.0	3.0	1.0	1.0	2.0			
a movie	133.0	2	1	2.0	2.0	2.0	3.0	2.0			
martin scorsese	133.0	2	3	1.0	3.0	3.0	2.0	3.0	2.0	0.0	
faye dunaway	133.0	0	0	1.0	2.0	1.0					
remake	133.0	2	2	1.0	1.0	2.0	2.0	1.0	1.0	1.0	
war film	133.0	1	1	2.0	3.0	1.0	2.0	3.0	0.0		
low-budget film	133.0	2	2	1.0	1.0	1.0	2.0	2.0			
mystery film	133.0	1	1	2.0	1.0	1.0	2.0	1.0			
independent film	133.0	1	1	2.0	1.0	1.0	1.0				
feature length	133.0	2	2	3.0	0.0	1.0	0.0	2.0			
film director	133.0	3	2	2.0	3.0	3.0	2.0	1.0			
film	133.0	1	3	1.0	3.0	3.0	2.0	1.0	3.0	2.0	1.0
space research	134.0	3	2	3.0	3.0	3.0	2.0				
space exploration	134.0	0	0	3.0	3.0	1.0					
space probe	134.0	3	3	2.0							
spaceflight	134.0	2	2	2.0							
goddard space flight center	134.0	0	0	2.0	2.0						
space shuttle	134.0	3	0	0.0	3.0	2.0					
nasa	134.0	3	3	3.0	2.0	3.0					
spacecraft	134.0	3	1	2.0	1.0	2.0	2.0	3.0	2.0		
marshall space flight center	134.0	2	2	2.0	0.0	0.0					
human spaceflight	134.0	3	2	3.0	1.0	3.0	2.0	1.0	2.0	3.0	
space station	134.0	3	2	2.0	2.0	2.0	3.0	3.0	3.0		
mars	134.0	1	2	3.0	2.0	1.0	2.0	3.0	2.0	2.0	
astrobiology	134.0	1	2	1.0	1.0	3.0	0.0				
lander (spacecraft)	134.0	2	2	2.0	2.0	2.0	2.0				
moon landing	134.0	3	0	2.0	1.0	3.0	3.0	0.0	1.0		
skylab	134.0	1	1	1.0	3.0						
jaxa	134.0	0	1	0.0	1.0	0.0	0.0	1.0	1.0	2.0	
european space agency	134.0	2	0	3.0	2.0	2.0	1.0				
exploration of mars	134.0	2	1	2.0	1.0	2.0	2.0				
point-blank range	135.0	1	2	1.0	1.0	1.0	1.0	1.0	2.0		
sniper	135.0	3	2	1.0	2.0	1.0	2.0	1.0			
police	135.0	3	3	3.0	2.0	1.0	3.0	2.0			
handgun	135.0	3	2	3.0							
taser	135.0	0	1	1.0	1.0	2.0	0.0	0.0			
revolver	135.0	2	2	2.0	2.0	0.0	2.0	0.0			
attempted murder	135.0	2	2	3.0	1.0						
firearm	135.0	3	2	3.0	3.0	3.0	0.0				
robbery	135.0	1	3	1.0	0.0	1.0					
shooting	135.0	3	3	2.0	2.0	3.0	3.0	2.0			
at close range	135.0	1	2	1.0	1.0	2.0	1.0	0.0	1.0		
arrest	135.0	2	2	2.0	3.0	1.0	2.0				
police officer	135.0	0	0	1.0	2.0	3.0	3.0				
murder	135.0	3	2	3.0	3.0	3.0	2.0	1.0			
military police (cambodian football club)	135.0	0	0	0.0	0.0	0.0					
carjacking	135.0	1	1	1.0	0.0	1.0	0.0				
shootout	135.0	0	3	0.0	3.0	0.0	0.0				
stray bullet	135.0	1	2	3.0	0.0	2.0	1.0	0.0			
shotgun	135.0	1	2	1.0	1.0	1.0	3.0	2.0	3.0		
percentage	136.0	1	2	3.0	1.0	3.0	2.0	3.0	2.0		
market value	136.0	2	3	3.0	2.0	1.0	3.0	1.0			
total revenue	136.0	2	2	2.0	2.0	1.0	1.0	1.0	2.0	1.0	
population	136.0	3	2	3.0	3.0	2.0	1.0				
demand	136.0	2	3	1.0	2.0	1.0	0.0	1.0			
consumer spending	136.0	2	2	1.0	2.0	1.0	2.0	2.0			
inflation	136.0	2	1	3.0	0.0	3.0	3.0	2.0			
profit margin	136.0	2	3	2.0	3.0	0.0	2.0	2.0	2.0	2.0	
market share	136.0	2	2	3.0	2.0	2.0	3.0				
average cost	136.0	0	1	3.0							
share price	136.0	3	1	2.0	1.0	1.0	1.0				
annual growth rate	136.0	3	3	2.0	3.0	3.0	1.0	1.0	2.0	2.0	
per	136.0	1	0	0.0	1.0	1.0	1.0				
percentage point	136.0	0	2	0.0	3.0	3.0	2.0				
average	136.0	1	2	2.0							
gross domestic product	136.0	2	1	0.0	0.0	3.0	0.0	1.0			
household income	136.0	1	0	1.0	1.0	1.0	0.0	1.0			
penetration rate	136.0	1	1	0.0	1.0	0.0	1.0	2.0			
rate of return	136.0	0	0	2.0	3.0	2.0					
farm team	137.0	2	1	1.0	0.0	1.0	0.0				
prospect (sports)	137.0	1	2	3.0	1.0	2.0	2.0				
player-coach	137.0	2	2	1.0	2.0	2.0	2.0	3.0	2.0	2.0	
two seasons	137.0	0	0	1.0	1.0	1.0					
the first team	137.0	2	1	2.0	1.0	0.0	1.0	1.0	3.0	2.0	
league club	137.0	2	2	2.0	3.0	1.0	1.0	2.0	1.0		
starting lineup	137.0	1	2	1.0	0.0	1.0	1.0	3.0	0.0	2.0	2.0
salary cap	137.0	1	1	1.0	2.0	0.0	2.0	0.0	2.0	1.0	
contract	137.0	2	1	2.0	1.0	1.0	3.0	3.0	3.0		
head coach	137.0	1	2	1.0	1.0	1.0	1.0	2.0	2.0	2.0	
exhibition game	137.0	1	2	2.0	1.0	1.0	3.0	0.0	2.0	2.0	
free agent	137.0	1	1	3.0	3.0	2.0	1.0	1.0			
utility player	137.0	2	1	2.0	2.0	2.0	2.0				
restricted free agent	137.0	1	0	0.0	1.0	3.0					
offer sheet	137.0	2	2	2.0	1.0	2.0	1.0				
played	137.0	2	1	1.0	1.0						
signing bonus	137.0	1	2	1.0	2.0	1.0					
championship	137.0	1	2	3.0	1.0	0.0	1.0	1.0	2.0		
playoffs	137.0	2	2	2.0	3.0	0.0					
cold	138.0	0	1	0.0	0.0	1.0	1.0	0.0	1.0	1.0	
rain	138.0	3	1	1.0	1.0	1.0	1.0	0.0	1.0	1.0	
precipitation	138.0	3	2	1.0	3.0	1.0	2.0	2.0	1.0	2.0	
deciduous	138.0	1	1	1.0	2.0	2.0	1.0	0.0			
microclimate	138.0	3	2	3.0	1.0	3.0	1.0	1.0			
evaporative cooler	138.0	1	0	2.0	0.0	1.0					
